ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0003779	actin binding	410	-0.559413860711329	-2.06293866578984	2.60557044814027e-14	4.75777163830414e-11	4.25667930054074e-11	1875	tags=29%, list=9%, signal=27%	CACNB2/EPB41/FLNB/MRTFA/MYOZ1/SCIN/ACTR2/DBN1/AVIL/CNN3/HIP1/CAP1/MYH10/HOMER2/PFN2/MYO10/CORO7/PLS1/PALLD/TLN1/GIPC1/MPRIP/PDLIM2/ABLIM1/MYO1B/FSCN2/DMD/PICK1/EZR/PARVA/PPP1R9A/LIMA1/AMOTL2/SYNPO/FLNA/LDB3/GSN/TPM4/MSRB2/SNTB1/ARPC4/INF2/MYLK/MICAL1/ARHGAP27/CTNNAL1/PDLIM4/FLNC/CTNNA1/CAMSAP3/MICAL2/NCALD/VASP/FHOD3/MARCKS/FGD4/YWHAH/SSH3/LIMD2/VCL/MYO1E/ENAH/ARPC5/WDR1/FMN1/LASP1/CAP2/MYO1C/TNS1/MISP/GBP1/FSCN1/EPB41L1/ACTN1/FERMT2/FMN2/MYH9/MSRB1/HOOK1/PDLIM7/COBLL1/PAWR/TRPC6/ANTXR1/POF1B/RAI14/CFL2/TPM2/WIPF3/MYH11/CNN2/DIXDC1/CALD1/PLS3/SYNPO2/DSTN/NEXN/STK38L/BAIAP2L1/ACTN4/PDLIM5/LIMCH1/TAGLN/TPM1/PDLIM3/MYO5C/LMOD1/SHROOM3/CNN1/SORBS1/NEBL/MYH1/CORO2A/CGN/SPTBN2/EPS8L1/CEACAM1/MYH2/MYO5B/MYH14
GO:0008009	chemokine activity	30	0.879641331064516	2.44008820819546	4.89219807595152e-11	4.46657684334374e-08	3.99615337572461e-08	296	tags=40%, list=1%, signal=39%	CXCL6/CXCL1/CXCL8/C3/CXCL5/CCL2/CXCL3/CXCL2/CCL13/CX3CL1/PF4V1/CCL7
GO:0042379	chemokine receptor binding	42	0.827706550756012	2.44398514934981	2.95176738571148e-10	1.18770292693638e-07	1.06261309886739e-07	1353	tags=40%, list=7%, signal=38%	CXCL6/CXCL1/CXCL8/C3/CXCL5/CCL2/CXCL3/CXCL2/CCL13/CX3CL1/PF4V1/CCL7/CCL28/STAT1/CXCL12/CKLF/C5
GO:0030280	structural constituent of skin epidermis	38	-0.86791785190771	-2.36705007109734	3.25219859511604e-10	1.18770292693638e-07	1.06261309886739e-07	825	tags=37%, list=4%, signal=35%	KRT4/FLG/KRT14/TUFT1/KRT86/KRT17/KRT23/KRT80/KRT7/KRT24/KRT15/KRT78/KRT19/KRT13
GO:0140097	catalytic activity, acting on DNA	238	0.518053420404261	2.02006385508433	1.43935478230955e-09	3.75465976071033e-07	3.3592159731495e-07	3175	tags=36%, list=16%, signal=30%	POLQ/TOP2A/RAD54L/REV3L/CHTF18/MCM5/ZGRF1/MCM7/DNA2/APLF/RAG1/FEN1/TP53/TDP1/MSH2/HMGA1/HMGA2/ERCC6L/HELLS/UNG/TOP1MT/ATAD5/PIF1/EME2/PMS2P3/POLA1/NTHL1/RECQL4/OGG1/MCM4/XRCC3/DNMT1/CHRAC1/RAD51/RAD54L2/BLM/METTL4/RAD54B/MLH3/NEIL3/XRCC2/MCM8/DKC1/ALKBH2/LIG1/TOP3B/TWNK/RAD51D/APEX1/XRCC1/ANKLE1/POLD1/CHD3/TERF2/POLI/EME1/SUPV3L1/FANCM/EXO1/RTEL1/MCM2/MGME1/PMS2/CHD1L/DDX12P/POLD3/G3BP1/RAD51B/RFC5/TET3/TTF2/RUVBL2/CHD1/POLE2/ERCC6/GEN1/PCNA/HLTF/DNMT3A/DCLRE1C/WRN/MCM6/DDX11/TATDN1/MSH4
GO:0000146	microfilament motor activity	35	-0.845583503468404	-2.24676110246852	5.46506809261209e-09	1.24740179213871e-06	1.11602443154394e-06	1661	tags=40%, list=8%, signal=37%	MYH10/MYO10/MYO1B/MYL6/MYO1E/MYO1C/MYH9/MYH11/MYO5C/MYH1/MYH2/MYO5B/MYH14/ACTC1
GO:0120545	nucleic acid conformation isomerase activity	155	0.567179578954638	2.09222474552167	8.64052382705951e-09	1.75306627869007e-06	1.56843192743817e-06	3445	tags=37%, list=17%, signal=31%	POLQ/TOP2A/RAD54L/CHTF18/MCM5/ZGRF1/MCM7/IFIH1/DNA2/DDX60/SLFN11/TP53/ERCC6L/HELLS/TOP1MT/PIF1/DDX39A/DHX58/RECQL4/ERCC6L2/MCM4/RAD51/RAD54L2/BLM/RAD54B/DDX46/MCM8/HELZ2/DHX33/EP400/TOP3B/DDX23/TWNK/CHD3/SUPV3L1/FANCM/DDX39B/RTEL1/MCM2/CHD1L/DDX12P/SRCAP/DHX57/G3BP1/RFC5/TTF2/RUVBL2/ERCC6/DDX60L/HLTF/WRN/MCM6/DDX11/DDX19A/MCM3/CHD8/SMARCAD1
GO:0045296	cadherin binding	312	-0.516132148474877	-1.86180682609465	5.0301871661261e-08	8.35011069576932e-06	7.47067031753848e-06	2537	tags=27%, list=13%, signal=24%	VAPA/KIF5B/RPL34/PDLIM1/DNAJB1/LDHA/MACF1/CLINT1/LRRFIP1/VAPB/EPS8L2/DCHS1/EHD4/PTPRJ/FLNB/DBN1/CNN3/YWHAZ/CDH3/FNBP1L/CTNNB1/CDH11/CDH2/TLN1/NOTCH3/TJP1/ARHGAP1/PKP3/GIPC1/MPRIP/MYO1B/MICALL1/EZR/PARVA/LIMA1/FLNA/NDRG1/PACSIN2/ARHGEF16/LAD1/CTNNAL1/NEO1/LYPLA2/ARVCF/CTNNA1/EPHA2/VASP/PKP4/MMP24/DAB2IP/VCL/HSPA5/BAIAP2/LASP1/HSPA8/FSCN1/HSPA1A/MPP7/TBC1D10A/PICALM/MYH9/COBLL1/CNN2/S100P/EHD1/CDC42EP1/CALD1/TES/PPP1R13L/BAIAP2L1/JUP/PDLIM5/PPME1/CDH1/ANK3/F11R/GPRC5A/CGN/SPTBN2/EPS8L1/EVPL/KRT18/TRIM29
GO:0004386	helicase activity	143	0.558638539081236	2.0336158045106	7.2412561643301e-08	1.10187781300556e-05	9.85827155003536e-06	3445	tags=37%, list=17%, signal=31%	POLQ/RAD54L/CHTF18/MCM5/ZGRF1/MCM7/IFIH1/DNA2/DDX60/SLFN11/ERCC6L/HELLS/PIF1/DDX39A/DHX58/RECQL4/ERCC6L2/MCM4/RAD51/RAD54L2/BLM/RAD54B/DDX46/MCM8/HELZ2/DHX33/EP400/DDX23/TWNK/CHD3/SUPV3L1/FANCM/DDX39B/RTEL1/MCM2/CHD1L/DDX12P/SRCAP/DHX57/G3BP1/RFC5/TTF2/RUVBL2/ERCC6/DDX60L/HLTF/WRN/MCM6/DDX11/DDX19A/MCM3/CHD8/SMARCAD1
GO:0098631	cell adhesion mediator activity	81	-0.664483302192286	-2.04259703334717	1.43432452030313e-06	0.000187076898148108	0.000167373808684997	1781	tags=33%, list=9%, signal=30%	CLDN3/CNN3/PALLD/PKP3/NFASC/NPTN/BCAM/BAIAP2/JAM3/SIRPA/DSP/PVR/DSC2/CDC42EP1/CD200/NEXN/BAIAP2L1/JUP/PDLIM5/CDH1/ITGA1/DSG2/MCAM/CXADR/NECTIN4/KRT18/TRIM29
